NAME,REVENUES,YEAR
ALBERTSONS COS.,58734,2017
MICRON TECHNOLOGY,12399,2017
LABORATORY CORP. OF AMERICA,9642,2017
LAM RESEARCH,5886,2017
SYNNEX,14062,2017
ROSS STORES,12867,2017
CLOROX,5761,2017
DICK'S SPORTING GOODS,7922,2017
UNITED STATES STEEL,10261,2017
WESCO INTERNATIONAL,7336,2017
PNC FINANCIAL SERVICES GROUP,16423,2017
PPG INDUSTRIES,15178,2017
STEEL DYNAMICS,7777,2017
NEWMONT MINING,8379,2017
ARROW ELECTRONICS,23825,2017
CH2M HILL,5236,2017
DISH NETWORK,15095,2017
LIBERTY INTERACTIVE,10647,2017
LIBERTY MEDIA,5276,2017
WESTERN UNION,5423,2017
AES,14287,2017
CALATLANTIC GROUP,6477,2017
CUMMINS,17509,2017
WALMART,485873,2017
J.B. HUNT TRANSPORT SERVICES,6556,2017
SEALED AIR,6778,2017
BECTON DICKINSON,12483,2017
ASCENA RETAIL GROUP,6995,2017
COGNIZANT TECHNOLOGY SOLUTIONS,13487,2017
WHIRLPOOL,20718,2017
IHEARTMEDIA,6274,2017
CST BRANDS,9061,2017
VALERO ENERGY,70166,2017
ANDEAVOR,24005,2017
USAA,27131,2017
HARRIS,7527,2017
BALL,9061,2017
LEVEL 3 COMMUNICATIONS,8172,2017
AUTONATION,21609,2017
BURLINGTON STORES,5591,2017
CINCINNATI FINANCIAL,5449,2017
AK STEEL HOLDING,5883,2017
KELLOGG,13014,2017
CAMPBELL SOUP,7961,2017
DOLLAR TREE,20719,2017
GENESIS HEALTHCARE,5733,2017
LAS VEGAS SANDS,11410,2017
MGM RESORTS INTERNATIONAL,9455,2017
GENUINE PARTS,15340,2017
HD SUPPLY HOLDINGS,7524,2017
HOME DEPOT,94595,2017
ALLIANCE DATA SYSTEMS,7138,2017
DR PEPPER SNAPPLE GROUP,6440,2017
J.C. PENNEY,12547,2017
YUM CHINA HOLDINGS,6752,2017
CHEVRON,107567,2017
US FOODS HOLDING,22919,2017
ANIXTER INTERNATIONAL,7625,2017
ILLINOIS TOOL WORKS,13599,2017
ALLSTATE,36534,2017
KRAFT HEINZ,26487,2017
INGREDION,5704,2017
SEARS HOLDINGS,22138,2017
MOTOROLA SOLUTIONS,6038,2017
JONES LANG LASALLE,6804,2017
OLD REPUBLIC INTERNATIONAL,5901,2017
EXELON,31360,2017
BOEING,94571,2017
R.R. DONNELLEY & SONS,6896,2017
UNITED CONTINENTAL HOLDINGS,36556,2017
LKQ,9082,2017
RITE AID,30737,2017
KEYCORP,5422,2017
SHERWIN-WILLIAMS,11856,2017
PARKER-HANNIFIN,11361,2017
PROGRESSIVE,23441,2017
TRAVELCENTERS OF AMERICA,5511,2017
CHS,30347,2017
PATTERSON,5555,2017
KIMBERLY-CLARK,18202,2017
CELANESE,5389,2017
EXXON MOBIL,205004,2017
FLUOR,19037,2017
VISTRA ENERGY,5164,2017
MICHAELS COS.,5197,2017
BUILDERS FIRSTSOURCE,6367,2017
HOLLYFRONTIER,10536,2017
AT&T,163786,2017
TENET HEALTHCARE,21070,2017
DEAN FOODS,7710,2017
ENERGY TRANSFER EQUITY,37504,2017
SOUTHWEST AIRLINES,20425,2017
TEXAS INSTRUMENTS,13370,2017
AMERICAN FAMILY INSURANCE GROUP,8829,2017
HERSHEY,7440,2017
DOLLAR GENERAL,21987,2017
HCA HOLDINGS,44747,2017
AIRGAS,5314,2017
AMERISOURCEBERGEN,146850,2017
LINCOLN NATIONAL,13330,2017
DAVITA HEALTHCARE PARTNERS,15197,2017
FANNIE MAE,107162,2017
DANAHER,19912,2017
CONAGRA FOODS,14134,2017
BERKSHIRE HATHAWAY,223604,2017
