[2024-12-04T09:24:09.290+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kaggle_to_noaa.fetch_noaa_data manual__2024-12-04T09:24:01.420850+00:00 [queued]>
[2024-12-04T09:24:09.303+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kaggle_to_noaa.fetch_noaa_data manual__2024-12-04T09:24:01.420850+00:00 [queued]>
[2024-12-04T09:24:09.303+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2024-12-04T09:24:09.324+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): fetch_noaa_data> on 2024-12-04 09:24:01.420850+00:00
[2024-12-04T09:24:09.332+0000] {standard_task_runner.py:57} INFO - Started process 1628 to run task
[2024-12-04T09:24:09.336+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'kaggle_to_noaa', 'fetch_noaa_data', 'manual__2024-12-04T09:24:01.420850+00:00', '--job-id', '116', '--raw', '--subdir', 'DAGS_FOLDER/business_etl_v1.py', '--cfg-path', '/tmp/tmplqrg7rzu']
[2024-12-04T09:24:09.339+0000] {standard_task_runner.py:85} INFO - Job 116: Subtask fetch_noaa_data
[2024-12-04T09:24:09.397+0000] {task_command.py:410} INFO - Running <TaskInstance: kaggle_to_noaa.fetch_noaa_data manual__2024-12-04T09:24:01.420850+00:00 [running]> on host 331557b4d310
[2024-12-04T09:24:09.483+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kaggle_to_noaa' AIRFLOW_CTX_TASK_ID='fetch_noaa_data' AIRFLOW_CTX_EXECUTION_DATE='2024-12-04T09:24:01.420850+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-04T09:24:01.420850+00:00'
[2024-12-04T09:24:30.403+0000] {logging_mixin.py:150} INFO - Data for FIPS 34005 saved.
[2024-12-04T09:24:35.883+0000] {logging_mixin.py:150} INFO - Data for FIPS 39017 saved.
[2024-12-04T09:24:36.644+0000] {logging_mixin.py:150} INFO - Data for FIPS 00055 saved.
[2024-12-04T09:24:42.614+0000] {logging_mixin.py:150} INFO - Data for FIPS 48141 saved.
[2024-12-04T09:24:47.002+0000] {logging_mixin.py:150} INFO - Data for FIPS 29077 saved.
[2024-12-04T09:24:49.877+0000] {logging_mixin.py:150} INFO - Data for FIPS 09003 saved.
[2024-12-04T09:24:53.460+0000] {logging_mixin.py:150} INFO - Data for FIPS 01073 saved.
[2024-12-04T09:24:57.745+0000] {logging_mixin.py:150} INFO - Data for FIPS 18085 saved.
[2024-12-04T09:25:02.834+0000] {logging_mixin.py:150} INFO - Data for FIPS 12071 saved.
[2024-12-04T09:25:08.369+0000] {logging_mixin.py:150} INFO - Data for FIPS 04013 saved.
[2024-12-04T09:25:14.455+0000] {logging_mixin.py:150} INFO - Data for FIPS 34021 saved.
[2024-12-04T09:25:20.896+0000] {logging_mixin.py:150} INFO - Data for FIPS 36055 saved.
[2024-12-04T09:25:26.369+0000] {logging_mixin.py:150} INFO - Data for FIPS 10003 saved.
[2024-12-04T09:25:31.318+0000] {logging_mixin.py:150} INFO - Data for FIPS 26125 saved.
[2024-12-04T09:25:36.429+0000] {logging_mixin.py:150} INFO - Data for FIPS 13125 saved.
[2024-12-04T09:25:42.227+0000] {logging_mixin.py:150} INFO - Data for FIPS 12095 saved.
[2024-12-04T09:25:48.031+0000] {logging_mixin.py:150} INFO - Data for FIPS 19153 saved.
[2024-12-04T09:25:54.418+0000] {logging_mixin.py:150} INFO - Data for FIPS 29510 saved.
[2024-12-04T09:26:00.456+0000] {logging_mixin.py:150} INFO - Data for FIPS 06075 saved.
[2024-12-04T09:26:05.655+0000] {logging_mixin.py:150} INFO - Data for FIPS 18163 saved.
[2024-12-04T09:26:10.568+0000] {logging_mixin.py:150} INFO - Data for FIPS 36119 saved.
[2024-12-04T09:26:15.582+0000] {logging_mixin.py:150} INFO - Data for FIPS 48491 saved.
[2024-12-04T09:26:21.545+0000] {logging_mixin.py:150} INFO - Data for FIPS 55139 saved.
[2024-12-04T09:26:27.556+0000] {logging_mixin.py:150} INFO - Data for FIPS 39173 saved.
[2024-12-04T09:26:33.363+0000] {logging_mixin.py:150} INFO - Data for FIPS 34007 saved.
[2024-12-04T09:26:37.808+0000] {logging_mixin.py:150} INFO - Data for FIPS 32003 saved.
[2024-12-04T09:26:43.980+0000] {logging_mixin.py:150} INFO - Data for FIPS 13067 saved.
[2024-12-04T09:26:48.926+0000] {logging_mixin.py:150} INFO - Data for FIPS 34013 saved.
[2024-12-04T09:26:52.699+0000] {logging_mixin.py:150} INFO - Data for FIPS 13129 saved.
[2024-12-04T09:26:57.298+0000] {logging_mixin.py:150} INFO - Data for FIPS 12057 saved.
[2024-12-04T09:27:01.907+0000] {logging_mixin.py:150} INFO - Data for FIPS 39095 saved.
[2024-12-04T09:27:07.142+0000] {logging_mixin.py:150} INFO - Data for FIPS 17115 saved.
[2024-12-04T09:27:13.180+0000] {logging_mixin.py:150} INFO - Data for FIPS 37119 saved.
[2024-12-04T09:27:19.013+0000] {logging_mixin.py:150} INFO - Data for FIPS 48339 saved.
[2024-12-04T09:27:25.674+0000] {logging_mixin.py:150} INFO - Data for FIPS 09009 saved.
[2024-12-04T09:27:31.838+0000] {logging_mixin.py:150} INFO - Data for FIPS 42101 saved.
[2024-12-04T09:27:37.811+0000] {logging_mixin.py:150} INFO - Data for FIPS 47157 saved.
[2024-12-04T09:27:44.472+0000] {logging_mixin.py:150} INFO - Data for FIPS 26163 saved.
[2024-12-04T09:27:49.138+0000] {logging_mixin.py:150} INFO - Data for FIPS 55133 saved.
