[2024-12-04T09:27:06.571+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: kaggle_to_noaa.fetch_noaa_data scheduled__2024-12-03T09:21:43.756805+00:00 [queued]>
[2024-12-04T09:27:06.582+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: kaggle_to_noaa.fetch_noaa_data scheduled__2024-12-03T09:21:43.756805+00:00 [queued]>
[2024-12-04T09:27:06.583+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2024-12-04T09:27:06.597+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): fetch_noaa_data> on 2024-12-03 09:21:43.756805+00:00
[2024-12-04T09:27:06.604+0000] {standard_task_runner.py:57} INFO - Started process 2525 to run task
[2024-12-04T09:27:06.607+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'kaggle_to_noaa', 'fetch_noaa_data', 'scheduled__2024-12-03T09:21:43.756805+00:00', '--job-id', '120', '--raw', '--subdir', 'DAGS_FOLDER/business_etl_v1.py', '--cfg-path', '/tmp/tmpm112ofsz']
[2024-12-04T09:27:06.610+0000] {standard_task_runner.py:85} INFO - Job 120: Subtask fetch_noaa_data
[2024-12-04T09:27:06.660+0000] {task_command.py:410} INFO - Running <TaskInstance: kaggle_to_noaa.fetch_noaa_data scheduled__2024-12-03T09:21:43.756805+00:00 [running]> on host 331557b4d310
[2024-12-04T09:27:06.739+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='kaggle_to_noaa' AIRFLOW_CTX_TASK_ID='fetch_noaa_data' AIRFLOW_CTX_EXECUTION_DATE='2024-12-03T09:21:43.756805+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-03T09:21:43.756805+00:00'
[2024-12-04T09:27:37.209+0000] {logging_mixin.py:150} INFO - Failed to fetch data for FIPS 34005. Status code: 503
[2024-12-04T09:27:43.583+0000] {logging_mixin.py:150} INFO - Data for FIPS 39017 saved.
[2024-12-04T09:27:44.268+0000] {logging_mixin.py:150} INFO - Data for FIPS 00055 saved.
[2024-12-04T09:27:48.754+0000] {logging_mixin.py:150} INFO - Data for FIPS 48141 saved.
[2024-12-04T09:27:55.618+0000] {logging_mixin.py:150} INFO - Data for FIPS 29077 saved.
[2024-12-04T09:28:02.568+0000] {logging_mixin.py:150} INFO - Data for FIPS 09003 saved.
[2024-12-04T09:28:09.494+0000] {logging_mixin.py:150} INFO - Data for FIPS 01073 saved.
[2024-12-04T09:28:15.859+0000] {logging_mixin.py:150} INFO - Data for FIPS 18085 saved.
[2024-12-04T09:28:20.463+0000] {logging_mixin.py:150} INFO - Data for FIPS 12071 saved.
